Episode,Steps,Winner,Active_Side,Black_Reward,White_Reward,Actor_Loss_Black,Critic_Loss_Black,Actor_Loss_White,Critic_Loss_White,Entropy_Black,Entropy_White,Black_Self_Dying_Count,White_Self_Dying_Count,Black_Kill_Count,White_Kill_Count,Black_Hit_Count,White_Hit_Count,White_Correct_Aim_Count,Black_Correct_Aim_Count
93,6,black,Black,1.9516401,-3.3231814,-0.10275376,0.09938139,-0.49893507,0.0070441663,0.0,0.0,0,3,0,0,0,0,1,0
94,6,black,Black,2.08045,-3.3607416,-0.15647078,0.16198875,-1.3487501,0.02309803,0.0,0.0,0,3,0,0,0,0,3,0
95,6,black,Black,-0.010287166,-2.4938865,-0.37348604,0.746502,0.18098736,0.076497056,0.0,0.0,2,3,0,0,0,0,0,0
96,6,black,Black,-0.22711492,-2.4739866,-1.0495988,0.9042075,1.2944185,0.09157563,0.0,0.0,2,3,0,0,0,0,1,0
97,6,black,Black,2.014141,-3.434926,-0.8572638,0.14110863,-0.22165997,0.03018505,0.0,0.0,0,3,0,0,0,0,2,0
98,6,black,Black,-0.11839199,-2.3893383,-0.3469127,0.83234006,0.27631164,0.09638242,0.0,0.0,2,3,0,0,0,0,1,0
99,6,black,Black,2.066821,-3.377223,-0.39147702,0.1553409,0.53944296,0.021331057,0.0,0.0,0,3,0,0,0,0,3,0
100,6,black,Black,1.0207044,-2.9855168,0.21843202,0.116207905,0.28233457,0.0010078843,0.0,0.0,1,3,0,0,0,0,2,0
101,6,black,Black,0.96004975,-2.8569255,0.057604313,0.14044464,0.30786386,0.007453893,0.0,0.0,1,3,0,0,0,0,2,0
102,6,black,Black,2.0127535,-3.4600997,0.22826926,0.14905493,-0.100051485,0.045452375,0.0,0.0,0,3,0,0,0,0,2,0
103,6,black,Black,2.0592575,-3.452754,0.1345377,0.17176874,0.27010202,0.07225052,0.0,0.0,0,3,0,0,0,0,2,0
104,6,black,Black,2.0256693,-3.4626515,-0.40343022,0.14502573,-1.0429097,0.04185458,0.0,0.0,0,3,0,0,0,0,2,0
105,6,black,Black,2.011095,-3.4736729,0.26154962,0.13177659,-1.100479,0.050220724,0.0,0.0,0,3,0,0,0,0,2,0
106,6,black,Black,2.0737143,-3.243919,-0.27257824,0.15783927,-0.27405056,0.0072359145,0.0,0.0,0,3,0,0,0,0,3,0
107,6,black,Black,2.040969,-3.338657,0.25879285,0.12212565,-0.35793877,0.0069601187,0.0,0.0,0,3,0,0,0,0,2,0
108,6,black,Black,1.9894757,-3.3912323,-1.2047976,0.09283999,-0.0706385,0.021431267,0.0,0.0,0,3,0,0,0,0,1,0
